station_co,district_n,x,y
3153,7,562997.08,3620582.06
3155,7,562824.03,3620946.92
3156,7,562948.68,3621195.38
3157,7,562788.24,3620857.12
3161,7,562782.51,3621762.5
3162,7,562094.39,3622414.81
3163,7,562154.57,3622380.82
3164,7,562095.15,3622533
3265,7,563017.69,3621351.25
3266,7,563271.98,3621239.67
3267,7,564665.49,3620367.62
3269,7,563608.05,3617427.59
3270,7,563764.27,3616822.39
3399,7,564866.01,3621276.01
3609,7,563617.09,3615984.55
3651,7,563041.91,3621374.57
3784,7,563668.25,3617307.69
3891,7,563937.56,3619803.16
3892,7,563773.16,3620957.63
3904,7,562005.69,3622754.5
3905,7,562030.51,3622606.87
3939,7,564688.93,3620380.41
3942,7,564736.73,3620667.19
3949,7,565560.72,3621638.22
3950,7,565553.06,3621648.48
3985,7,565104.33,3620815.93
3986,7,565386.44,3620953.71
3987,7,565133.41,3620855.37
3988,7,564864.39,3620749.62
4000,7,564555.13,3620736.63
4001,7,564451.85,3621025.2
4002,7,564718.49,3621265.62
4005,7,564681.61,3621517.6
4006,7,564695.23,3621297.84
4007,7,564409.39,3621056.52
4009,7,565566.82,3620600.91
4010,7,565579.16,3620364.52
4011,7,565193.7,3620206.77
4048,7,565048.03,3621384.96
4049,7,564779.03,3620129
4058,7,565382.19,3620929.4
4059,7,564516.88,3620766.31
4060,7,564756.03,3620121.98
4133,7,566251.15,3622003.44
1101,1,561044.74,3615373.88
1102,1,561496.22,3615342.29
1103,1,561813.91,3615294.04
1104,1,562111.72,3615246.56
1105,1,562292.96,3615218.21
1106,1,562505.64,3615185.51
1107,1,562902.41,3615015.17
1108,1,562862.53,3614648.08
1109,1,562813.31,3614186.8
1110,1,562758.76,3613676.28
1111,1,562579.05,3612307.22
1131,1,562813.24,3614390.01
1132,1,562799.63,3614393.03
1138,1,562449.96,3614405.58
1142,1,562464.8,3614402.01
1143,1,562470.11,3613152.75
1144,1,562417.95,3612346.68
1145,1,562435.65,3612604.87
1146,1,562395.34,3612452.19
1147,1,562418.77,3612784.7
1148,1,562434.54,3613021.71
1156,1,561919.26,3614426.21
1157,1,561930.55,3614421.51
1159,1,561424.97,3614444.98
1163,1,561441.12,3614440.76
1164,1,560976.3,3615281.78
1165,1,561008.3,3614987.08
1166,1,561083.64,3614367.72
1167,1,561157.72,3614077.39
1168,1,561224.12,3613802.41
1169,1,561229.23,3613535.16
1170,1,561230.58,3613179.3
1171,1,561232.57,3612855.6
1172,1,561232.29,3612580.11
1173,1,561232.47,3612246.53
1174,1,561250.21,3612183.11
1175,1,561245.62,3612547.82
1176,1,561248.64,3612880.09
1177,1,561246.72,3613299.8
1178,1,561244.73,3613774.83
1179,1,561043.8,3614458.05
1180,1,561070.85,3614542.69
1181,1,561026.61,3614952.16
1182,1,560985.85,3615360.55
